Age,Gender,Height,Weight,BMI,Fat%,Workout_Frequency,Goal,Diet_Type
18.0,1,1.77,76.7,24.5,21.0,2.0,Weight Loss,Low Carb / Low Fat
36.0,1,1.59,118.3,46.8,33.0,2.0,Muscle Gain, High Protein 
27.0,0,1.54,98.0,41.3,19.0,1.0,Muscle Gain,High Protein
20.0,0,1.53,96.5,41.2,14.0,,Maintain,Balanced / Plant-Based
59.0,1,1.99,63.8,,10.0,5.0,WL,High Protein
35.0,0,1.86,91.9,26.6,27.0,1.0,Muscle Gain,High Protein
25.0,0,1.72,94.8,32.0,15.0,3.0,Weight Loss,Low Carb / Low Fat
52.0,1,1.75,83.4,27.2,17.0,3.0,Weight Loss,Low Carb / Low Fat
26.0,0,0,87.9,22.9,25.0,5.0,Maintain, Balanced / Plant-Based 
50.0,1,1.73,87.2,29.1,10.0,3.0,Maintain,Balanced / Plant-Based
50.0,1,,67.3,19.2,30.0,3.0,Muscle Gain,
40.0,1,1.92,65.0,17.6,23.0,5.0,Muscle Gain,Balanced / Plant-Based
35.0,1,1.79,53.6,16.7,24.0,2.0,Weight Loss,Balanced / Plant-Based
31.0,0,1.62,64.8,24.7,21.0,3.0,Weight Loss,Low Carb / Low Fat
36.0,1,1.61,59.1,22.8,15.0,2.0,Maintain,Balanced / Plant-Based
31.0,0,,85.5,27.0,17.0,4.0,Weight Loss,Balanced / Plant-Based
25.0,0,1.53,69.0,29.5,29.0,2.0,Weight Loss,Low Carb / Low Fat
26.0,0,1.7,93.0,32.2,19.0,1.0,Muscle Gain,Balanced / Plant-Based
58.0,1,1.52,81.6,35.3,17.0,2.0,Maintain,Balanced / Plant-Based
53.0,0,1.53,54.4,23.2,24.0,3.0,Muscle Gain,High Protein
27.0,0,1.81,109.9,33.5,34.0,3.0,Weight Loss,Low Carb / Low Fat
33.0,0,1.6,59.5,23.2,11.0,6.0,Muscle Gain,BALANCED / PLANT-BASED
55.0,1,1.6,84.1,32.9,32.0,1.0,Maintain,Balanced / Plant-Based
26.0,1,1.94,97.5,,16.0,4.0,Muscle Gain,Balanced / Plant-Based
25.0,1,1.55,88.7,36.9,17.0,3.0,Weight Loss,Low Carb / Low Fat
27.0,1,1.87,96.0,27.5,28.0,5.0,Muscle Gain,Balanced / Plant-Based
28.0,0,1.99,99.6,25.2,28.0,6.0,Maintain,Balanced / Plant-Based
33.0,0,1.64,115.7,43.0,23.0,1.0,Muscle Gain,High Protein
21.0,0,1.69,67.7,23.7,24.0,1.0,Muscle Gain,Balanced / Plant-Based
24.0,1,1.78,58.8,18.6,17.0,3.0,Weight Loss,Low Carb / Low Fat
34.0,0,1.99,77.9,19.7,33.0,2.0,MG,High Protein
44.0,1,1.65,95.7,35.2,12.0,1.0,Maintain,Balanced / Plant-Based
20.0,1,1.82,108.0,32.6,23.0,6.0,Muscle Gain, High Protein 
18.0,0,1.88,83.9,23.7,34.0,1.0,Maintain,Balanced / Plant-Based
21.0,0,1.82,67.8,20.5,24.0,1.0,Maintain,Balanced / Plant-Based
48.0,0,1.55,77.8,32.4,27.0,2.0,Weight Loss,Low Carb / Low Fat
56.0,1,1.99,81.3,,23.0,6.0,Muscle Gain,High Protein
38.0,0,1.87,72.2,20.6,22.0,1.0,Weight Loss,Balanced / Plant-Based
39.0,0,1.82,87.9,26.5,12.0,3.0,Muscle Gain,High Protein
34.0,0,1.7,55.0,19.0,30.0,1.0,Muscle Gain,High Protein
47.0,1,1.84,92.3,27.3,21.0,2.0,Weight Loss,Low Carb / Low Fat
43.0,0,1.93,66.4,17.8,18.0,6.0,Weight Loss,Balanced / Plant-Based
34.0,0,1.51,53.9,23.6,18.0,5.0,Maintain, Balanced / Plant-Based 
33.0,1,1.79,62.0,19.4,23.0,4.0,Muscle Gain,Balanced / Plant-Based
51.0,1,1.82,108,32.9,10.0,4.0,Muscle Gain,Balanced / Plant-Based
35.0,1,1.89,70.8,19.8,24.0,6.0,Maintain,Balanced / Plant-Based
18.0,1,1.88,81.3,23.0,21.0,,Maintain,Balanced / Plant-Based
,0,1.53,106.7,45.6,13.0,5.0,Maintain,Balanced / Plant-Based
49.0,0,1.52,67.5,29.2,10.0,6.0,Maintain,Balanced / Plant-Based
59.0,1,1.91,84.5,23.2,33.0,1.0,Muscle Gain,High Protein
40.0,0,1.82,83.7,25.3,27.0,6.0,Muscle Gain,High Protein
42.0,0,1.8,85.5,26.4,23.0,5.0,Muscle Gain,High Protein
43.0,1,1.68,87.3,30.9,25.0,4.0,Weight Loss,Balanced / Plant-Based
29.0,1,1.56,110.3,45.3,12.0,6.0,Maintain,Balanced / Plant-Based
32.0,0,1.87,64.7,18.5,32.0,1.0,Maintain,Balanced / Plant-Based
20.0,1,1.93,52.93855270901575,14.0,14.0,2.0,Weight Loss,High Protein
28.0,1,1.82,64.4,19.4,33.0,5.0,,Balanced / Plant-Based
53.0,1,1.84,86.0,29.0,25.4,6.0,Maintain,Balanced / Plant-Based
43.0,1,1.55,78.8,32.8,33.0,6.0,Muscle Gain, High Protein 
26.0,0,1.81,52.8,16.1,11.0,4.0,Weight Loss,Low Carb / Low Fat
50.0,1,1.6,53.5,20.9,11.0,3.0,Weight Loss,Balanced / Plant-Based
26.0,1,1.57,66.0,26.8,23.0,4.0,Muscle Gain,High Protein
53.0,1,1.9,72.4,20.1,27.0,,Maintain,Balanced / Plant-Based
47.0,1,1.63,89.6,33.7,34.0,4.0,Weight Loss,Low Carb / Low Fat
58.0,0,1.9,50.4,14.0,25.0,,,Balanced / Plant-Based
,1,1.67,89.6,32.1,24.0,6.0,Muscle Gain,High Protein
21.0,0,1.78,81.0,25.6,15.0,3.0,Muscle Gain,Balanced / Plant-Based
59.0,1,1.79,,33.1,14.0,4.0,Maintain,BALANCED / PLANT-BASED
32.0,1,1.73,108.1,36.1,32.0,3.0,Weight Loss, LOW CARB / LOW FAT 
32.0,1,1.83,90.5,27.0,32.0,3.0,Weight Loss,Low Carb / Low Fat
53.0,0,,89.6,38.8,22.0,1.0,Weight Loss,
41.0,1,1.56,50.1,20.6,30.0,5.0,Maintain, Balanced / Plant-Based 
26.0,1,1.84,77.5,22.9,27.0,6.0,UNKNOWN_@@@,??
30.0,1,1.7,104.0,36.0,31.0,5.0,Weight Loss,Balanced / Plant-Based
59.0,1,194cm,116.0 kg,30.8,28.0,2.0,Maintain,Balanced / Plant-Based
20.0,1,1.98,50.3,12.8,20.0,1.0,Muscle Gain,High Protein
38.0,1,1.84,91.3,27.0,17.0,4.0,Weight Loss,Low Carb / Low Fat
59.0,0,1.85,62.0,18.1,14.0,4.0,Maintain,Balanced / Plant-Based
57.0,0,1.51,57.2,25.1,34.0,5.0,Muscle Gain,High Protein
26.0,1,1.74,84.8,28.0,29.0,6.0,Weight Loss,Low Carb / Low Fat
58.0,0,1.84,110.4,32.6,25.0,5.0,Maintain,Balanced / Plant-Based
39.0,0,1.73,68.9,23.0,18.0,4.0,Muscle Gain,high protein
45.0,0,1.87,104.1,29.8,30.0,2.0,Weight Loss,Low Carb / Low Fat
36.0,0,1.9,109.3,30.3,34.0,5.0,Weight Loss,Balanced / Plant-Based
25.0,0,1.53,99.7,42.6,28.0,3.0,Muscle Gain,High Protein
34.0,1,1.59,93.7,37.1,11.0,2.0,Maintain,
39.0,0,1.54,59.0,24.9,24.0,2.0,Weight Loss,Low Carb / Low Fat
55.0,1,1.85,73.5,21.5,11.0,4.0,Muscle Gain,balanced / plant-based
20.0,0,1.92,83.2,22.6,21.0,4.0,Weight Loss,Balanced / Plant-Based
45.0,0,1.93,92,24.9,17.0,2.0,Muscle Gain,High Protein
45.0,0,1.96,100.3,26.1,32.0,2.0,Muscle Gain,High Protein
34.0,0,1.73,81.5,27.2,14.0,3.0,Maintain,Balanced / Plant-Based
47.0,0,1.83,74.7,22.3,24.0,,Maintain,Balanced / Plant-Based
32.0,1,1.54,,44.1,33.0,2.0,Muscle Gain,Balanced / Plant-Based
38.0,1,1.65,101.6,37.3,24.0,1.0,Weight Loss,Balanced / Plant-Based
58.0,1,1.92,54.3,14.7,22.0,3.0,Maintain,Balanced / Plant-Based
38.0,1,1.56,59.5,24.4,24.0,4.0,Maintain,Balanced / Plant-Based
45.0,0,1.74,105.8,34.9,34.0,3.0,Maintain,Balanced / Plant-Based
56.0,0,1.81,117.4,35.8,33.0,1.0,Maintain,Balanced / Plant-Based
37.0,0,0,99.43494840701472,32.9,29.0,3.0,Muscle Gain,Balanced / Plant-Based
26.0,0,1.56,82.7,34.0,32.0,1.0,Maintain,Balanced / Plant-Based
58.0,0,1.85,100.4,29.3,34.0,4.0,Weight Loss,Balanced / Plant-Based
58.0,0,1.71,77.5,26.5,10.0,3.0,Weight Loss,Low Carb / Low Fat
46.0,0,1.99,56.1,14.2,21.0,5.0,Maintain,Balanced / Plant-Based
40.0,1,1.76,58.6,18.9,27.0,3.0,Muscle Gain,Balanced / Plant-Based
43.0,1,1.86,73.3,21.2,16.0,5.0,Maintain,Balanced / Plant-Based
49.0,1,1.9,88.5,24.5,26.0,3.0,Maintain,Balanced / Plant-Based
43.0,1,1.66,83.8,30.4,15.0,1.0,Muscle Gain,High Protein
50.0,0,1.98,105.2,26.8,10.0,5.0,Weight Loss,Balanced / Plant-Based
19.0,0,180cm,78.6 kg,24.3,16.0,3.0,Muscle Gain,High Protein
34.0,0,1.88,102.2,28.9,26.0,6.0,Weight Loss,Low Carb / Low Fat
50.0,0,1.83,59.6,17.8,29.0,1.0,False,Balanced / Plant-Based
19.0,1,1.95,65.0,17.1,30.0,4.0,Maintain,Balanced / Plant-Based
23.0,0,1.64,76.3,28.4,16.0,1.0,Muscle Gain,High Protein
29.0,0,1.73,111.4,37.2,25.0,5.0,Muscle Gain,High Protein
42.0,1,1.88,89.2,25.2,34.0,6.0,UNKNOWN_@@@,??
26.0,1,1.91,116.7,32.0,15.0,2.0,Maintain,Balanced / Plant-Based
43.0,0,1.94,88.9,23.6,27.0,5.0,Muscle Gain,High Protein
49.0,0,,81.4,33.4,32.0,5.0,Weight Loss,Low Carb / Low Fat
27.0,0,1.95,119.0,31.3,29.0,3.0,Maintain,Balanced / Plant-Based
28.0,0,1.83,105.5,31.5,11.0,4.0,Maintain, Balanced / Plant-Based 
33.0,1,1.83,86.4,25.8,28.0,3.0,Weight Loss,Low Carb / Low Fat
35.0,0,1.84,54.0,15.9,15.0,4.0,Muscle Gain,High Protein
37.0,1,1.64,97.1,36.1,17.0,4.0,Maintain,Balanced / Plant-Based
22.0,0,1.67,107.5,38.5,34.0,1.0,Maintain,Balanced / Plant-Based
37.0,0,1.85,77.6,22.7,16.0,5.0,Maintain,Balanced / Plant-Based
57.0,0,1.7,105.4,36.5,15.0,5.0,Maintain,Balanced / Plant-Based
57.0,1,1.71,80.9,27.7,28.0,5.0,Muscle Gain,High Protein
51.0,1,1.71,107.5,160.39999999999998,23.0,2.0,Muscle Gain,High Protein
20.0,1,1.99,82.5,20.8,13.0,5.0,Muscle Gain,High Protein
39.0,1,1.54,101.5,42.8,27.0,4.0,Weight Loss,Low Carb / Low Fat
45.0,0,1.53,57.0,122.9,18.0,4.0,Maintain,Balanced / Plant-Based
40.0,1,1.76,58.6,18.9,27.0,3.0,Muscle Gain,Balanced / Plant-Based
45.0,1,1.77,76.8,24.5,16.0,2.0,Weight Loss,Low Carb / Low Fat
24.0,0,1.95,85.6,22.5,29.0,3.0,Weight Loss,Low Carb / Low Fat
52.0,1,1.82,119,36.0,12.0,6.0,Maintain,Balanced / Plant-Based
53.0,0,1.65,54.0,19.8,34.0,4.0,Muscle Gain,High Protein
42.0,1,1.57,77.2,31.3,22.0,4.0,Muscle Gain,High Protein
57.0,1,1.94,105.5,28.0,27.0,3.0,Weight Loss,Low Carb / Low Fat
59.0,0,1.6,105.1,41.1,34.0,5.0,Maintain,Balanced / Plant-Based
54.0,0,1.9,109.0,30.2,32.0,4.0,Weight Loss,Low Carb / Low Fat
39.0,1,1.63,80.3,30.2,10.0,4.0,Maintain,Balanced / Plant-Based
56.0,1,1.89,62.4,17.5,16.0,4.0,Maintain,Balanced / Plant-Based
40.0,1,1.87,84.4,24.1,24.0,1.0,Maintain,Balanced / Plant-Based
52.0,0,1.93,,26.4,28.0,2.0,Muscle Gain,Balanced / Plant-Based
59.0,1,1.52,,41.7,28.0,2.0,Muscle Gain,High Protein
56.0,0,1.51,79.5,34.9,31.0,6.0,Muscle Gain,High Protein
37.0,0,1.57,59.3,24.1,11.0,2.0,Maintain,
32.0,0,1.86,64.0,18.5,32.0,4.0,Maintain,Balanced / Plant-Based
58.0,0,1.57,116.8,47.4,29.0,6.0,Muscle Gain,High Protein
57.0,1,1.98,80.8,20.6,28.0,1.0,Weight Loss,Low Carb / Low Fat
49.0,0,1.66,68.4,24.8,10.0,,Weight Loss,Low Carb / Low Fat
40.0,0,1.65,116.2,42.7,29.0,5.0,  Maintain  ,Low Carb / Low Fat
52.0,1,1.63,70.3,26.5,23.0,,Maintain,Balanced / Plant-Based
44.0,0,1.86,107.6,31.1,16.0,4.0,Weight Loss,Low Carb / Low Fat
53.0,0,1.69,56.9,19.9,21.0,5.0,Maintain,Balanced / Plant-Based
44.0,1,1.79,85.9,26.8,17.0,5.0,Weight Loss,Low Carb / Low Fat
59.0,0,1.91,98.6,27.0,22.0,5.0,Muscle Gain,High Protein
54.0,0,1.76,102.5,33.1,21.0,1.0,Maintain,Balanced / Plant-Based
21.0,0,1.74,98.2,32.4,16.0,5.0,Muscle Gain,High Protein
43.0,1,1.52,87.3,37.8,29.0,4.0,Weight Loss,Low Carb / Low Fat
26.0,0,1.58,96.1,38.5,28.0,3.0,Weight Loss,Balanced / Plant-Based
18.0,1,1.96,85.9,,22.0,5.0,Muscle Gain,High Protein
29.0,0,1.7,113.4,167.60000000000002,12.0,5.0,Weight Loss,Low Carb / Low Fat
18.0,1,1.69,86.9,30.4,16.0,5.0,Weight Loss, Low Carb / Low Fat 
53.0,0,1.99,85.5,21.6,34.0,5.0,Weight Loss,Low Carb / Low Fat
58.0,0,1.5,109.1,48.5,19.0,2.0,Weight Loss,Balanced / Plant-Based
19.0,1,1.85,78.9,23.1,34.0,6.0,Weight Loss,Low Carb / Low Fat
49.0,0,1.57,82.5,33.5,13.0,4.0,Maintain,Balanced / Plant-Based
29.0,0,,57.7,21.7,26.0,2.0,Muscle Gain,High Protein
40.0,1,1.97,86.2,22.2,17.0,,Weight Loss,Low Carb / Low Fat
52.0,1,1.66,72.7,26.4,21.0,6.0,Maintain,Balanced / Plant-Based
36.0,0,1.64,82.3,30.6,18.0,4.0,Maintain,Balanced / Plant-Based
51.0,1,1.96,59.5,,14.0,6.0,Maintain,Balanced / Plant-Based
47.0,0,1.51,72.2,31.7,28.0,2.0,Weight Loss,Low Carb / Low Fat
24.0,0,1.65,61.0,22.4,12.0,3.0,Weight Loss,
39.0,0,1.66,,42.4,20.0,5.0,Weight Loss,Balanced / Plant-Based
29.0,1,1.82,,,17.0,3.0,Weight Loss,Balanced / Plant-Based
21.0,1,1.53,62.5,26.7,28.0,5.0,Weight Loss,Low Carb / Low Fat
28.0,0,1.62,69.6,26.5,11.0,4.0,Maintain,Balanced / Plant-Based
29.0,0,1.68,119.2,42.2,33.0,3.0,Weight Loss,Balanced / Plant-Based
53.0,1,1.87,68.6,19.6,33.0,2.0,Weight Loss,Low Carb / Low Fat
45.0,1,1.71,88.5,30.3,25.0,3.0,Maintain,Balanced / Plant-Based
26.0,1,1.7,85.7,29.7,31.0,2.0,Muscle Gain,High Protein
49.0,1,1.86,90.0,26.0,32.0,6.0,Weight Loss,Low Carb / Low Fat
31.0,0,1.96,94.0,24.5,14.0,5.0,Muscle Gain,High Protein
27.0,0,1.97,108.3,27.9,19.0,2.0,Muscle Gain,High Protein
32.0,0,1.71,96.3,32.9,16.0,3.0,Weight Loss,Balanced / Plant-Based
25.0,1,1.81,78.6,24.0,17.0,6.0,Maintain,Balanced / Plant-Based
46.0,0,1.98,,26.2,18.0,5.0,Maintain,Balanced / Plant-Based
21.0,0,1.85,73.6,,21.0,6.0,Weight Loss,Balanced / Plant-Based
37.0,0,1.94,,23.7,,3.0,Maintain,Balanced / Plant-Based
56.0,1,1.95,104.82306242504141,27.6,27.0,6.0,Maintain,Balanced / Plant-Based
47.0,0,1.66,72,26.5,26.0,4.0,Weight Loss, Low Carb / Low Fat 
39.0,0,1.88,72.4,20.5,33.0,4.0,Muscle Gain,High Protein
44.0,1,1.85,108.6,31.7,26.0,6.0,Muscle Gain,Balanced / Plant-Based
45.0,0,1.86,78.8,22.8,27.0,2.0,Maintain,Balanced / Plant-Based
50.0,0,1.56,84.2,34.6,30.0,1.0,,High Protein
55.0,0,1.67,53.3,19.1,25.0,3.0,Weight Loss,Low Carb / Low Fat
29.0,1,1.7,111.0,38.4,21.0,5.0,Maintain,Balanced / Plant-Based
27.0,0,1.81,67.1,20.5,22.0,3.0,Maintain,Balanced / Plant-Based
31.0,0,1.89,88.8,24.9,15.0,4.0,Muscle Gain,High Protein
48.0,1,1.78,66.2,20.9,30.0,2.0,Maintain,Balanced / Plant-Based
28.0,0,1.55,115.3,48.0,26.0,5.0,Muscle Gain,High Protein
,1,1.6,55.6,21.7,21.0,5.0,Muscle Gain,High Protein
58.0,0,1.95,102.1,26.9,32.0,1.0,,Balanced / Plant-Based
43.0,0,1.72,55.5,18.8,21.0,2.0,Muscle Gain,Balanced / Plant-Based
42.0,1,1.71,97.1,33.2,31.0,2.0,Weight Loss,Low Carb / Low Fat
45.0,0,1.71,84.0,28.7,16.0,2.0,Weight Loss,Balanced / Plant-Based
23.0,1,1.94,99.1,26.3,22.0,6.0,Maintain, Balanced / Plant-Based 
40.0,0,1.79,99.1,30.9,11.0,2.0,Maintain,Balanced / Plant-Based
20.0,0,1.68,83.8,29.7,13.0,4.0,Muscle Gain,High Protein
21.0,1,1.64,119.2,44.3,26.0,1.0,Weight Loss,Balanced / Plant-Based
49.0,0,1.99,108.5,27.4,31.0,1.0,Weight Loss,Balanced / Plant-Based
29.0,0,1.83,64.2,19.2,26.0,4.0,Maintain,Balanced / Plant-Based
38.0,0,1.69,92.4,32.4,34.0,5.0,Muscle Gain,High Protein
53.0,0,1.82,53.7,16.2,29.0,2.0,Weight Loss,Low Carb / Low Fat
39.0,0,1.9,53.1,14.7,33.0,5.0,Muscle Gain,Balanced / Plant-Based
26.0,1,1.68,70.9,25.1,16.0,5.0,Weight Loss,Low Carb / Low Fat
25.0,1,1.82,70.2,21.2,15.0,1.0,Weight Loss,Low Carb / Low Fat
49.0,0,1.79,74.5,23.3,,5.0,Weight Loss,Low Carb / Low Fat
27.0,0,1.72,108.9,36.8,31.0,5.0,Weight Loss,Low Carb / Low Fat
28.0,0,1.7,99.3,34.4,31.0,1.0,Maintain,Balanced / Plant-Based
56.0,0,1.99,94.3,23.8,10.0,1.0,Weight Loss,Balanced / Plant-Based
50.0,0,1.97,70.2,18.1,31.0,6.0,Maintain,Balanced / Plant-Based
,1,1.58,88.0,35.3,18.0,3.0,Maintain,Balanced / Plant-Based
54.0,0,1.79,65.5,20.4,29.0,5.0,Weight Loss,Balanced / Plant-Based
34.0,1,1.93,71.4,19.2,22.0,4.0,Muscle Gain,High Protein
47.0,0,1.76,63.9,20.6,34.0,3.0,Muscle Gain,High Protein
38.0,1,1.87,,26.2,,5.0,Maintain,Balanced / Plant-Based
32.0,0,1.98,70.4,18.0,23.0,3.0,Weight Loss,Low Carb / Low Fat
46.0,1,1.65,62.7,23.0,24.0,2.0,Weight Loss, Balanced / Plant-Based 
20.0,0,1.53,79.98403374777979,34.2,15.0,4.0,Weight Loss,Low Carb / Low Fat
31.0,0,1.97,104.7,27.0,25.0,5.0,Weight Loss,Low Carb / Low Fat
20.0,1,1.87,60.1,17.2,26.0,1.0,Weight Loss,Low Carb / Low Fat
57.0,1,,57.7,14.9,14.0,2.0,Muscle Gain,High Protein
38.0,1,1.83,94.4,28.2,10.0,1.0,Weight Loss,Balanced / Plant-Based
28.0,1,1.73,74.2,24.8,26.0,5.0,Maintain,balanced / plant-based
35.0,0,1.84,87.7,25.9,25.0,1.0,Weight Loss,Low Carb / Low Fat
25.0,0,1.52,94.8,41.0,25.0,1.0,Muscle Gain,High Protein
43.0,0,1.67,112.3,40.3,33.0,,Maintain,Balanced / Plant-Based
38.0,1,1.84,112.2,33.1,27.0,2.0,Weight Loss,Low Carb / Low Fat
49.0,1,1.9,78.8,21.8,22.0,2.0,Maintain,balanced / plant-based
43.0,0,1.68,117.3,41.6,30.0,6.0,UNKNOWN_@@@,??
18.0,0,,81.3,25.4,32.0,5.0,Weight Loss,Low Carb / Low Fat
49.0,1,1.92,81.7,22.2,25.0,1.0,Weight Loss,Balanced / Plant-Based
54.0,0,1.55,63.7,26.5,28.0,3.0,Maintain,Balanced / Plant-Based
31.0,1,1.84,74.3,21.9,12.0,4.0,Weight Loss,
43.0,1,1.58,106.4,42.6,31.0,5.0,Weight Loss,Low Carb / Low Fat
42.0,0,1.68,115.5,40.9,16.0,2.0,Weight Loss, Low Carb / Low Fat 
52.0,1,1.95,57.2,15.0,34.0,4.0,Muscle Gain,High Protein
43.0,0,1.55,87.3,36.3,23.0,5.0,Muscle Gain,High Protein
56.0,1,,95.9818249672071,33.5,23.0,1.0,Maintain,Balanced / Plant-Based
40.0,1,1.92,81.4,22.1,34.0,,Maintain,Balanced / Plant-Based
30.0,1,1.92,117.2,31.8,18.0,,Weight Loss,LOW CARB / LOW FAT
20.0,1,1.76,95.8,30.9,17.0,3.0,Muscle Gain,High Protein
20.0,0,1.66,56.0,20.3,13.0,5.0,Weight Loss,Low Carb / Low Fat
48.0,1,1.73,71.7,24.0,16.0,3.0,Muscle Gain,High Protein
27.0,0,1.68,110.2,,32.0,6.0,Weight Loss,Balanced / Plant-Based
38.0,0,1.91,83.3,22.8,18.0,2.0,Maintain,Balanced / Plant-Based
